,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
diff_srv_rate,125972.0,0.0,7942.93,0.06305313879277358,0.0,0.18031503569117222,0.03251351209630871,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.29,1.0,1.0
srv_diff_host_rate,125972.0,0.0,12259.900000000001,0.09732242085543502,0.0,0.2598313847427568,0.06751234849733852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.0,1.0,1.0
dst_host_count,125972.0,0.0,22945699.0,182.1491998221827,255.0,99.20656544795204,9841.942627978791,0.0,1.0,3.0,11.0,82.0,255.0,255.0,255.0,255.0,255.0,255.0
dst_host_srv_count,125972.0,0.0,14569131.0,115.65372463722098,63.0,110.70288552685408,12255.128863971757,0.0,1.0,1.0,2.0,10.0,63.0,255.0,255.0,255.0,255.0,255.0
dst_host_same_srv_rate,125972.0,0.0,65662.20999999999,0.5212444829009534,0.51,0.44895005494161483,0.20155615183207898,0.0,0.0,0.0,0.01,0.05,0.51,1.0,1.0,1.0,1.0,1.0
dst_host_diff_srv_rate,125972.0,0.0,10449.570000000002,0.08295152891119757,0.02,0.18892249085799753,0.035691707551990165,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.1,0.56,1.0,1.0
dst_host_same_src_port_rate,125972.0,0.0,18691.559999999998,0.14837868732736248,0.0,0.30899835082693217,0.09547998081376385,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.84,1.0,1.0,1.0
dst_host_srv_diff_host_rate,125972.0,0.0,4099.469999999999,0.03254270790335327,0.0,0.11256421432249014,0.012670702346039495,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.18,0.52,1.0
dst_host_serror_rate,125972.0,0.0,35833.33,0.2844547200965189,0.0,0.4447850936783885,0.19783377955849282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
dst_host_srv_serror_rate,125972.0,0.0,35081.53,0.2784867272092056,0.0,0.4456702021150254,0.19862192905324758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
dst_host_rerror_rate,125972.0,0.0,14969.55,0.11883235957197433,0.0,0.30655861345719265,0.09397818348479645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.0,1.0,1.0
dst_host_srv_rerror_rate,125972.0,0.0,15146.98,0.12024084717239103,0.0,0.3194604788090911,0.10205499752093375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
last_flag,125972.0,0.0,2456965.0,19.504056456990444,20.0,2.2915116084141087,5.251025451496616,0.0,11.0,15.0,17.0,18.0,20.0,21.0,21.0,21.0,21.0,21.0
attack_class,125972.0,0.0,72432.0,0.5749849172832058,0.0,0.6941059350309275,0.4817830490451583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0
